Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2014-12-09,47.3166224734,47.4823739801,46.790126319,5989000,47.301998
2014-12-10,47.0338760464,47.8918713211,47.0241241224,6457800,47.609125
2014-12-11,47.6580146993,48.2055807286,47.3451150063,8723600,47.389118
2014-12-12,47.2522271601,47.8584622218,47.017553,8243800,47.017553
2014-12-15,47.1446684296,47.3891186445,46.3379822318,10152600,46.655768
2014-12-16,46.6166544177,46.6508774474,45.4530728761,14614400,45.570408
2014-12-17,45.8246381408,46.3282050879,45.4188503006,11205200,46.20109
2014-12-18,47.0664422132,47.462454,46.4748731908,18960800,47.462454
2014-12-19,46.6899902337,47.0713320734,45.3846270866,27002000,46.367314
2014-12-22,46.5090961914,46.900218,46.4553171444,7662200,46.900218
2014-12-23,46.9344405238,47.1837807168,46.7339893951,5241800,46.919774
2014-12-24,47.1300015352,47.5944549793,46.9784394714,2439600,47.076222
2014-12-26,47.1837808644,47.5260096943,47.0566657765,3144400,47.340229
2014-12-29,47.2326707277,47.7411276605,47.2326707277,4017800,47.570013
2014-12-30,47.364672,47.5700131132,47.2375608221,4146800,47.364672
2014-12-31,47.4086738524,47.7215701188,46.9539964653,4697400,47.007776
2015-01-02,47.2033376032,47.3988948402,46.0104195858,4985800,46.460207
2015-01-05,46.2059804099,46.2255369159,45.531295375,6889200,45.71219
2015-01-06,45.9028603769,46.029975954,45.0130620931,7576000,45.443293
2015-01-07,45.7659684971,46.5922111792,45.5166278179,7256000,46.381984
2015-01-08,46.7682163423,47.4722300169,46.7486598365,5978200,47.452674
2015-01-09,47.3891183791,47.4184514269,46.7388798335,4689000,46.929551
2015-01-12,46.8904414878,47.1886673233,46.5579887116,5630800,46.865995
2015-01-13,47.1006646268,47.6433445833,46.2646453954,6182200,46.45043
2015-01-14,45.6535198831,46.1375342337,45.4237401074,6658200,45.814858
2015-01-15,46.2646452755,46.2890917632,45.257511877,4235000,45.374847
2015-01-16,45.3552904189,45.5312945698,44.9935050865,8770000,45.462849
2015-01-20,45.6828564171,45.9028601404,45.2819585599,9403800,45.765969
2015-01-21,45.5215193399,46.0201958209,45.472629786,5854000,45.71708
2015-01-22,46.1277543587,46.9882205779,45.741523021,6952400,46.861105
2015-01-23,47.0028855472,47.3011152901,46.7633258098,6781000,47.012666
2015-01-26,46.9344408289,47.1642245177,46.7144371043,4964000,47.105555
2015-01-27,46.5922118053,46.6655439354,46.0153093059,6696800,46.20109
2015-01-28,46.4455396838,46.6019878174,45.5899639527,6402600,45.619297
2015-01-29,45.7953010554,46.381984,45.5508508471,6802400,46.381984
2015-01-30,45.9175267282,46.1326443809,45.0277279588,8106400,45.101064
2015-02-02,45.3112913001,45.3161812821,44.3774900235,8056600,44.939726
2015-02-03,45.0912879649,45.658410506,44.9935059236,7940200,45.638854
2015-02-04,45.3552911426,45.5997413561,45.1108409291,7187400,45.242846
2015-02-05,45.409070292,45.756189107,45.2526226439,5754400,45.633964
2015-02-06,45.6633001644,45.6975227049,44.7539448951,7381800,44.87617
2015-02-09,44.7343891189,44.8321677377,44.3383807504,7339400,44.573051
2015-02-10,44.8517235975,45.5166281694,44.5974968456,7694600,45.345514
2015-02-11,45.2183984908,45.3455135767,44.4654913614,8541000,44.641496
2015-02-12,44.7148322822,45.3015152354,44.392159958,11855800,44.978839
2015-02-13,44.988615036,45.2575117329,44.9299494303,7695600,44.998395
2015-02-17,44.851723483,45.4188499249,44.8419469413,7371000,44.910393
2015-02-18,44.7539451439,45.8441911299,44.7001656085,8143800,45.770859
2015-02-19,45.7024128407,46.0837546804,45.7024128407,6605200,45.809968
2015-02-20,45.7659689327,46.5873216406,45.6388533564,7398000,46.411317
2015-02-23,46.4064270065,46.5579885816,46.0935312258,4622200,46.45043
2015-02-24,46.3233146971,46.709546517,46.3233146971,5239200,46.650877
2015-02-25,46.6508774293,47.5211196942,46.6508774293,7053600,47.335339
2015-02-26,47.3941798653,47.7226922221,47.3892757005,5935000,47.555982
2015-02-27,47.5363689274,47.7619188309,47.3794670344,7118600,47.619726
2015-03-02,47.506951248,48.4728795165,47.4383071595,11025000,48.418944
2015-03-03,48.2669461472,48.2816552095,47.6197263245,7038400,48.036496
2015-03-04,47.889398252,47.9874643859,47.5412726703,4853000,47.81585
2015-03-05,48.0315917907,48.3846215424,47.9482386402,6633600,48.276751
2015-03-06,48.2767510987,48.3895258062,47.364758348,7174600,47.51676
2015-03-09,47.6050137747,47.9629481852,47.5314689531,5938800,47.771724
2015-03-10,47.2765013806,47.5461779843,47.1931482293,7096000,47.320632
2015-03-11,47.2568876449,47.600112989,46.6685070144,7484200,46.746956
2015-03-12,46.8254091424,47.6099176343,46.766569461,5809800,47.5805
2015-03-13,47.5804991168,47.7962401984,46.7273460619,7396200,46.977406
2015-03-16,47.1686301286,47.46282412,47.0362456273,8497000,47.286309
2015-03-17,47.1392116545,47.4530154383,46.8303125258,6408200,47.33534
2015-03-18,47.3353406434,47.9874651211,46.8793445139,8855600,47.81095
2015-03-19,47.9580436254,48.3552039968,47.6638530641,13536000,48.208107
2015-03-20,50.3213780315,50.8901493606,49.644740082,29779800,50.002674
2015-03-23,49.7918366187,50.306668504,49.6202222312,10471800,49.747706
2015-03-24,49.5466768545,49.8457715753,49.3260311182,7598800,49.350549
2015-03-25,49.5221599964,49.6104173113,48.5121050405,8133400,48.536619
2015-03-26,48.2179108287,49.0759680524,47.8893984722,9479800,48.703329
2015-03-27,48.6003629451,49.120098996,48.6003629451,4403600,48.973002
2015-03-30,49.6349352244,49.7918371191,49.2966145333,5435400,49.468225
2015-03-31,49.4633206791,49.9340258714,49.1740347729,6309200,49.193648
2015-04-01,49.0318418172,49.169130484,48.2179112818,6605400,48.8112
2015-04-02,49.051454526,49.1887431913,48.7327465769,3840400,48.865135
2015-04-06,48.4189434823,49.3407406316,48.3208812703,5027400,48.899457
2015-04-07,48.8994571907,49.1593254613,48.7719734216,3993600,48.840618
2015-04-08,49.0318414927,49.5074508455,48.8945528269,6522400,49.443707
2015-04-09,49.522160668,49.8604813601,49.3260323184,5301000,49.384872
2015-04-10,49.4829340286,49.5613869372,48.9975197729,5918200,49.017133
2015-04-13,49.0171328547,49.0612600415,48.5709416223,7313800,48.673908
2015-04-14,48.5709418516,48.9386806677,48.3944267295,4770800,48.801392
2015-04-15,49.3407412856,49.3897760697,48.8994576482,5716200,48.948489
2015-04-16,48.7817784871,49.1151950118,48.7376517907,4104000,48.982811
2015-04-17,48.6248769703,48.7229431064,48.1198494855,6049600,48.320882
2015-04-20,48.5807501976,49.1985484669,48.5513286407,6208600,49.026938
2015-04-21,49.4044851485,49.4486118452,48.8945534996,5125200,49.174035
2015-04-22,49.1789382522,49.2230649481,48.6837156749,3905800,49.10539
2015-04-23,48.9239705331,49.8163495503,48.7621644769,4668200,49.576095
2015-04-24,49.257387955,49.6594490591,49.13480835,4334000,49.497643
2015-04-27,49.654544626,50.0124785415,49.4093854175,5158400,49.492742
2015-04-28,49.4240972869,49.4240972869,48.634684155,6031600,48.963197
2015-04-29,48.8013917025,49.2720968939,48.6690072004,5395200,49.115195
2015-04-30,48.9092627265,49.2819057089,48.2767514701,6497000,48.463071
2015-05-01,48.9730024403,49.4339032272,48.7425562145,6683400,49.41429
2015-05-04,49.5221601503,49.6202223628,49.2671960443,4557800,49.438807
2015-05-05,49.2426791649,49.4584207417,49.1593260137,5104400,49.237775
2015-05-06,49.1642259595,49.5221598731,48.8749395658,5396600,49.139712
2015-05-07,49.2524835823,49.8114460882,49.0416466628,5526200,49.742802
2015-05-08,50.1546717466,50.6498943321,50.1546717466,5534800,50.22822
2015-05-11,50.2184117132,50.6106679211,50.0566056536,5339800,50.399831
2015-05-12,50.0026738167,50.3507994037,49.816350366,4676400,50.193898
2015-05-13,50.3507987781,50.3704120049,49.9095117164,4508200,50.090931
2015-05-14,50.4733787917,50.7528602892,50.1644762279,5433400,50.718538
2015-05-15,50.8215050136,51.4981429596,50.6842163469,7865200,51.473629
2015-05-18,51.5373691198,51.7285928115,51.1990479423,5045200,51.360854
2015-05-19,51.2971145929,51.5716914372,51.1647261678,5971200,51.306919
2015-05-20,51.444207238,51.556982435,51.0960816529,5399200,51.29221
2015-05-21,51.4196941476,51.5814962842,51.1107910916,5455200,51.189244
2015-05-22,51.5863998728,51.5913040376,51.0127283088,5654800,51.203952
2015-05-26,51.2039525847,51.360854479,50.5910545599,5691400,50.70873
2015-05-27,50.7381512188,50.9538888705,50.1644762198,8896800,50.424344
2015-05-28,50.2620990083,50.6160891155,49.9081054596,5781600,50.296515
2015-05-29,50.2965143794,50.3358439909,49.6770255539,5562200,49.986768
2015-06-01,50.0359331119,50.2915967272,49.8786028665,4944000,50.031019
2015-06-02,50.0506853096,50.4882595587,49.9031867309,4974400,50.203098
2015-06-03,50.2915969642,50.6849201211,50.0359333477,4745000,50.399762
2015-06-04,50.1785147642,50.7881719307,49.9621881324,4467200,50.124432
2015-06-05,49.9031872724,50.2719300355,49.721272701,3791800,50.163765
2015-06-08,49.9523521564,50.0949331836,49.8441871206,4314000,49.873689
2015-06-09,49.8982699828,50.114600055,49.5491939902,3476800,49.829438
2015-06-10,50.0654358421,51.1470798222,49.9818551312,6270400,50.807835
2015-06-11,51.6682345053,51.6829876576,50.8717525875,6178000,51.07333
2015-06-12,50.9110858521,51.1814947546,50.7439204988,4133000,51.024165
2015-06-15,50.6898377451,51.0585805098,50.5079271061,4902000,50.812752
2015-06-16,50.876669877,51.6141554066,50.8570031045,5034000,51.407657
2015-06-17,51.4961554465,51.7075679657,51.1716637789,4072400,51.501073
2015-06-18,51.648571307,52.4450532193,51.6289045346,5690600,52.115644
2015-06-19,52.1303934893,52.5335517552,52.0861458323,7285600,52.376222
2015-06-22,52.538468991,52.8285446625,52.4352215097,4186600,52.504053
